Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel

05.10.2017,Atelier 2,2,M1,13:30,13:38,14:40,14:40,16:11,16:22,3D,"BLADE RUNNER 2049 ",14,00:42,17:15,3D,"CARS 3 - EVOLUTION "
05.10.2017,Atelier 3,3,M1,13:45,14:02,15:06,15:06,16:11,16:17,2D,ES,16,00:32,17:00,2D,ES
05.10.2017,Atelier 6,6,M1,13:45,13:54,14:56,14:56,16:27,16:38,2D,BLADE RUNNER 2049,14,00:41,17:30,3D,"THE LEGO NINJAGO MOVIE "
05.10.2017,Atelier 8,8,N1,14:00,14:16,14:57,14:57,16:03,16:12,2D,BARRY SEAL: ONLY IN AMERICA,12,00:37,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
05.10.2017,Atelier 5,5,N1,14:00,14:14,15:16,15:16,15:54,16:03,3D,"CARS 3 - EVOLUTION ",6,00:31,16:45,3D,"BLADE RUNNER 2049 "
05.10.2017,Atelier 1,1,N1,14:30,14:43,15:35,15:35,16:06,16:14,3D,"EMOJI: DER FILM ",6,00:20,16:45,3D,"BIGFOOT JUNIOR "
05.10.2017,Atelier 4,4,N1,14:30,14:41,15:24,15:24,16:12,16:21,2D,MY LITTLE PONY - DER FILM,4,00:58,17:30,2D,MY LITTLE PONY - DER FILM
05.10.2017,Atelier 7,7,N1,14:30,14:44,15:27,15:27,16:16,16:25,3D,"THE LEGO NINJAGO MOVIE ",6,00:39,17:15,2D,BLADE RUNNER 2049
05.10.2017,Atelier 5,5,N1,16:45,16:53,17:55,17:55,19:26,19:37,3D,"BLADE RUNNER 2049 ",14,00:42,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
05.10.2017,Atelier 1,1,N1,16:45,16:59,17:38,17:38,18:27,18:32,3D,"BIGFOOT JUNIOR ",6,01:48,20:30,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
05.10.2017,Atelier 3,3,N2,17:00,17:17,18:21,18:21,19:26,19:32,2D,ES,16,00:32,20:15,2D,ES
05.10.2017,Atelier 8,8,N2,17:00,17:12,18:14,18:14,19:27,19:33,2D,KINGSMAN: THE GOLDEN CIRCLE,16,01:01,20:45,2D,ANNABELLE 2
05.10.2017,Atelier 7,7,N2,17:15,17:22,18:24,18:24,19:55,20:06,2D,BLADE RUNNER 2049,14,00:43,21:00,2D,BARRY SEAL: ONLY IN AMERICA
05.10.2017,Atelier 2,2,N2,17:15,17:29,18:31,18:31,19:10,19:18,3D,"CARS 3 - EVOLUTION ",6,00:31,20:00,3D,"BLADE RUNNER 2049 "
