Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel

21.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:17,16:30,16:36,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
21.09.2017,Corso 8,8,N1,14:00,14:14,14:51,14:51,16:06,16:13,2D,KILLER'S BODYGUARD,16,00:36,17:00,2D,BABY DRIVER
21.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:02,16:03,16:13,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:00,3D,"THE LEGO NINJAGO MOVIE "
21.09.2017,Corso 5,5,N1,14:15,14:34,15:15,15:15,16:20,16:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:35,17:15,2D,BARRY SEAL: ONLY IN AMERICA
21.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:25,16:14,16:19,3D,"BIGFOOT JUNIOR ",6,01:00,17:30,2D,ANNABELLE 2
21.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:38,16:08,16:17,3D,"EMOJI: DER FILM ",6,01:02,17:30,2D,BABY DRIVER
21.09.2017,Corso 4,4,N1,14:45,14:58,15:51,15:51,16:25,16:38,2D,BULLYPARADE - DER FILM,6,00:56,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
21.09.2017,Corso 7,7,N1,14:45,15:01,15:54,15:54,16:23,16:32,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,01:03,17:45,2D,HEREINSPAZIERT!
21.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:02,19:03,19:07,2D,BABY DRIVER,16,00:57,20:15,2D,KILLER'S BODYGUARD
21.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:47,18:48,18:58,3D,"THE LEGO NINJAGO MOVIE ",6,00:51,20:00,2D,BARRY SEAL: ONLY IN AMERICA
21.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:15,19:20,19:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:20,20:00,3D,"THE LEGO NINJAGO MOVIE "
21.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:32,19:45,19:51,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
21.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:39,19:30,19:36,2D,ANNABELLE 2,16,00:58,20:45,2D,ANNABELLE 2
21.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:32,19:33,19:37,2D,BABY DRIVER,16,00:27,20:15,2D,THE CIRCLE
