Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel

12.10.2017,Gotthard 6,6,N1,14:00,14:16,14:54,15:06,15:56,16:00,3D,"BIGFOOT JUNIOR ",6,01:04,17:15,2D,FLITZER
12.10.2017,Gotthard 2,2,N1,14:00,14:17,15:19,15:31,16:10,16:18,3D,"CARS 3 - EVOLUTION ",6,00:31,17:00,2D,ES
12.10.2017,Gotthard 8,8,N1,14:15,14:28,15:09,15:21,16:15,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
12.10.2017,Gotthard 1,1,N1,14:15,14:30,15:23,15:35,16:06,16:14,3D,"EMOJI: DER FILM ",6,00:50,17:15,3D,"CARS 3 - EVOLUTION "
12.10.2017,Gotthard 7,7,N1,14:30,14:48,15:32,15:44,16:33,16:43,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:30,2D,KILLER'S BODYGUARD
12.10.2017,Gotthard 3,3,N1,14:30,14:46,15:29,15:41,16:29,16:39,2D,MY LITTLE PONY - DER FILM,4,00:40,17:30,2D,AMERICAN ASSASSIN
12.10.2017,Gotthard 4,4,N1,14:45,15:02,15:46,15:58,16:53,17:02,2D,BORG/MCENROE,6,00:17,17:30,2D,BORG/MCENROE
12.10.2017,Gotthard 5,5,N1,15:00,15:12,16:14,16:26,17:57,18:09,3D,"BLADE RUNNER 2049 ",14,01:10,19:30,3D,"BLADE RUNNER 2049 "
12.10.2017,Gotthard 2,2,N2,17:00,17:18,18:22,18:34,19:39,19:45,2D,ES,16,00:19,20:15,2D,ES
12.10.2017,Gotthard 8,8,N2,17:00,17:16,18:06,18:18,19:43,19:49,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:15,20:15,2D,KINGSMAN: THE GOLDEN CIRCLE
12.10.2017,Gotthard 1,1,N2,17:15,17:32,18:34,18:46,19:25,19:33,3D,"CARS 3 - EVOLUTION ",6,00:16,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
12.10.2017,Gotthard 6,6,N2,17:15,17:28,18:09,18:21,19:15,19:18,2D,FLITZER,12,00:31,20:00,2D,FLITZER
12.10.2017,Gotthard 4,4,N2,17:30,17:47,18:31,18:43,19:38,19:47,2D,BORG/MCENROE,6,00:32,20:30,2D,BORG/MCENROE
12.10.2017,Gotthard 7,7,N2,17:30,17:48,18:25,18:37,19:52,19:59,2D,KILLER'S BODYGUARD,16,00:20,20:30,2D,BARRY SEAL: ONLY IN AMERICA
12.10.2017,Gotthard 3,3,N2,17:30,17:49,18:30,18:42,19:45,19:54,2D,AMERICAN ASSASSIN,16,00:40,20:45,2D,AMERICAN ASSASSIN
12.10.2017,Gotthard 5,5,HV,19:30,19:42,20:44,20:56,22:27,22:39,3D,"BLADE RUNNER 2049 ",14,,,,
12.10.2017,Gotthard 6,6,HV,20:00,20:16,20:56,21:08,22:02,22:06,2D,FLITZER,12,,,,
12.10.2017,Gotthard 1,1,HV,20:00,20:18,21:00,21:12,22:03,22:10,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
12.10.2017,Gotthard 2,2,HV,20:15,20:35,21:39,21:51,22:56,23:03,2D,ES,16,,,,
12.10.2017,Gotthard 8,8,HV,20:15,20:34,21:24,21:36,23:01,23:07,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
12.10.2017,Gotthard 4,4,HV,20:30,20:49,21:33,21:45,22:40,22:50,2D,BORG/MCENROE,6,,,,
12.10.2017,Gotthard 7,7,HV,20:30,20:49,21:30,21:42,22:47,22:57,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
12.10.2017,Gotthard 3,3,HV,20:45,21:07,21:47,21:59,23:02,23:11,2D,AMERICAN ASSASSIN,16,,,,

13.10.2017,Gotthard 6,6,N1,14:00,14:16,14:54,15:06,15:56,16:01,3D,"BIGFOOT JUNIOR ",6,01:03,17:15,2D,FLITZER
13.10.2017,Gotthard 2,2,N1,14:00,14:17,15:19,15:31,16:10,16:18,3D,"CARS 3 - EVOLUTION ",6,00:31,17:00,2D,ES
13.10.2017,Gotthard 1,1,N1,14:15,14:30,15:06,15:18,16:06,16:14,3D,"EMOJI: DER FILM ",6,00:50,17:15,3D,"CARS 3 - EVOLUTION "
13.10.2017,Gotthard 8,8,N1,14:15,14:28,15:09,15:21,16:15,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
13.10.2017,Gotthard 3,3,N1,14:30,14:46,15:43,15:55,16:29,16:39,2D,MY LITTLE PONY - DER FILM,4,00:40,17:30,2D,AMERICAN ASSASSIN
13.10.2017,Gotthard 7,7,N1,14:30,14:48,15:32,15:44,16:33,16:43,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:30,2D,KILLER'S BODYGUARD
13.10.2017,Gotthard 4,4,N1,14:45,15:53,16:37,16:49,17:44,17:45,2D,BORG/MCENROE,6,00:00,17:30,2D,BORG/MCENROE
