Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel

14.09.2017,Cinemaxx 7,7,N1,14:00,14:16,15:06,15:06,16:11,16:15,2D,LOGAN LUCKY,12,00:49,17:15,3D,"PLANET DER AFFEN: SURVIVAL "
14.09.2017,Cinemaxx 2,2,N1,14:00,14:13,14:55,14:55,15:46,15:53,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:56,17:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
14.09.2017,Cinemaxx 6,6,N1,14:15,14:32,15:11,15:11,16:00,16:05,3D,"BIGFOOT JUNIOR ",6,00:44,17:00,2D,ANNABELLE 2
14.09.2017,Cinemaxx 3,3,N1,14:15,14:34,15:25,15:25,16:20,16:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:34,17:15,2D,BARRY SEAL: ONLY IN AMERICA
14.09.2017,Cinemaxx 1,1,N1,14:30,14:48,15:41,15:41,16:11,16:20,3D,"EMOJI: DER FILM ",6,00:44,17:15,2D,THE CIRCLE
14.09.2017,Cinemaxx 4,4,N1,14:45,14:59,15:52,15:52,16:25,16:39,2D,BULLYPARADE - DER FILM,6,00:40,17:30,2D,MOTHER!
14.09.2017,Cinemaxx 8,8,N1,14:45,15:00,15:49,15:49,16:28,16:33,2D,HEREINSPAZIERT!,6,01:01,17:45,2D,HEREINSPAZIERT!
14.09.2017,Cinemaxx 5,5,N1,14:45,15:02,15:55,15:55,16:24,16:32,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:47,17:30,2D,KILLER'S BODYGUARD
14.09.2017,Cinemaxx 6,6,N2,17:00,17:16,18:09,18:09,19:00,19:06,2D,ANNABELLE 2,16,00:43,20:00,2D,ANNABELLE 2
14.09.2017,Cinemaxx 2,2,N2,17:00,17:13,17:55,17:55,18:46,18:53,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:56,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
14.09.2017,Cinemaxx 3,3,N2,17:15,17:34,18:25,18:25,19:21,19:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:34,20:15,2D,BARRY SEAL: ONLY IN AMERICA
14.09.2017,Cinemaxx 7,7,N2,17:15,17:29,18:36,18:36,19:41,19:49,3D,"PLANET DER AFFEN: SURVIVAL ",12,00:30,20:30,2D,LOGAN LUCKY
14.09.2017,Cinemaxx 1,1,N2,17:15,17:28,18:10,18:10,19:10,19:18,2D,THE CIRCLE,12,00:46,20:15,2D,THE CIRCLE
14.09.2017,Cinemaxx 5,5,N2,17:30,17:47,18:38,18:38,19:38,19:45,2D,KILLER'S BODYGUARD,16,00:34,20:30,2D,KILLER'S BODYGUARD
14.09.2017,Cinemaxx 4,4,N2,17:30,17:44,18:30,18:30,19:40,19:46,2D,MOTHER!,16,00:48,20:45,2D,BABY DRIVER
14.09.2017,Cinemaxx 8,8,N2,17:45,18:00,18:49,18:49,19:28,19:33,2D,HEREINSPAZIERT!,6,01:01,20:45,2D,HEREINSPAZIERT!
14.09.2017,Cinemaxx 2,2,HV,20:00,20:15,20:58,20:58,21:48,21:56,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
14.09.2017,Cinemaxx 6,6,HV,20:00,20:19,21:11,21:11,22:02,22:09,2D,ANNABELLE 2,16,,,,
14.09.2017,Cinemaxx 3,3,HV,20:15,20:36,21:27,21:27,22:22,22:32,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
14.09.2017,Cinemaxx 1,1,HV,20:15,20:30,21:12,21:12,22:12,22:20,2D,THE CIRCLE,12,,,,
14.09.2017,Cinemaxx 5,5,HV,20:30,20:48,21:40,21:40,22:40,22:47,2D,KILLER'S BODYGUARD,16,,,,
14.09.2017,Cinemaxx 7,7,HV,20:30,20:48,21:37,21:37,22:43,22:47,2D,LOGAN LUCKY,12,,,,
14.09.2017,Cinemaxx 4,4,HV,20:45,21:03,21:52,21:52,22:52,22:56,2D,BABY DRIVER,16,,,,
14.09.2017,Cinemaxx 8,8,HV,20:45,21:02,21:51,21:51,22:30,22:35,2D,HEREINSPAZIERT!,6,,,,

15.09.2017,Cinemaxx 2,2,N1,14:00,14:13,14:55,14:55,15:46,15:53,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:56,17:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
15.09.2017,Cinemaxx 7,7,N1,14:00,14:16,15:06,15:06,16:11,16:15,2D,LOGAN LUCKY,12,00:49,17:15,3D,"PLANET DER AFFEN: SURVIVAL "
15.09.2017,Cinemaxx 3,3,N1,14:15,14:34,15:25,15:25,16:20,16:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:34,17:15,2D,BARRY SEAL: ONLY IN AMERICA
15.09.2017,Cinemaxx 6,6,N1,14:15,14:32,15:11,15:11,16:00,16:05,3D,"BIGFOOT JUNIOR ",6,00:44,17:00,2D,ANNABELLE 2
15.09.2017,Cinemaxx 1,1,N1,14:30,14:48,15:41,15:41,16:11,16:20,3D,"EMOJI: DER FILM ",6,00:44,17:15,2D,THE CIRCLE
15.09.2017,Cinemaxx 8,8,N1,14:45,15:00,15:49,15:49,16:28,16:33,2D,HEREINSPAZIERT!,6,01:01,17:45,2D,HEREINSPAZIERT!
15.09.2017,Cinemaxx 5,5,N1,14:45,15:02,15:55,15:55,16:24,16:32,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:47,17:30,2D,KILLER'S BODYGUARD
15.09.2017,Cinemaxx 4,4,N1,14:45,14:59,15:52,15:52,16:25,16:39,2D,BULLYPARADE - DER FILM,6,00:40,17:30,2D,MOTHER!
15.09.2017,Cinemaxx 6,6,N2,17:00,17:16,18:09,18:09,19:00,19:06,2D,ANNABELLE 2,16,00:43,20:00,2D,ANNABELLE 2
15.09.2017,Cinemaxx 2,2,N2,17:00,17:13,17:55,17:55,18:46,18:53,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:56,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
15.09.2017,Cinemaxx 3,3,N2,17:15,17:34,18:25,18:25,19:21,19:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:34,20:15,2D,BARRY SEAL: ONLY IN AMERICA
15.09.2017,Cinemaxx 7,7,N2,17:15,17:29,18:36,18:36,19:41,19:49,3D,"PLANET DER AFFEN: SURVIVAL ",12,00:30,20:30,2D,LOGAN LUCKY
15.09.2017,Cinemaxx 1,1,N2,17:15,17:28,18:10,18:10,19:10,19:18,2D,THE CIRCLE,12,00:46,20:15,2D,THE CIRCLE
